timestamp,operator_id,task_health_score,raw_score,total_tasks,error_tasks,complete_tasks,start_tasks,momentum_factor
2025-08-20T10:02:07Z,B,73.9,75.0,1,0,0,1,0.7
2025-08-20T10:02:07Z,C,80.2,75.0,0,0,0,0,0.7
2025-08-20T10:02:17Z,A,81.44,75.0,0,0,0,0,0.7
2025-08-20T10:02:17Z,B,81.73,100.0,1,0,1,0,0.7
2025-08-20T10:02:17Z,C,74.14,60.0,1,0,0,1,0.7
2025-08-20T10:02:27Z,A,79.51,75.0,0,0,0,0,0.7
2025-08-20T10:02:27Z,B,79.71,75.0,0,0,0,0,0.7
2025-08-20T10:02:27Z,C,66.9,50.0,1,1,0,0,0.7
2025-08-20T10:02:37Z,A,78.15,75.0,1,0,0,1,0.7
2025-08-20T10:02:37Z,B,78.3,75.0,0,0,0,0,0.7
2025-08-20T10:02:37Z,C,64.83,60.0,1,0,0,1,0.7
2025-08-20T10:02:47Z,A,84.71,100.0,1,0,1,0,0.7
2025-08-20T10:02:47Z,B,72.81,60.0,1,0,0,1,0.7
2025-08-20T10:02:47Z,C,67.88,75.0,0,0,0,0,0.7
2025-08-20T10:02:57Z,A,89.3,100.0,2,0,1,1,0.7
2025-08-20T10:02:57Z,B,73.47,75.0,0,0,0,0,0.7
2025-08-20T10:02:57Z,C,70.02,75.0,0,0,0,0,0.7
2025-08-20T10:03:07Z,A,80.51,60.0,1,0,0,1,0.7
2025-08-20T10:03:07Z,B,73.93,75.0,0,0,0,0,0.7
2025-08-20T10:03:07Z,C,64.01,50.0,1,1,0,0,0.7
2025-08-20T10:03:17Z,A,86.35,100.0,1,0,1,0,0.7
2025-08-20T10:03:17Z,B,81.75,100.0,1,0,1,0,0.7
2025-08-20T10:03:17Z,C,67.31,75.0,0,0,0,0,0.7
2025-08-20T10:03:27Z,A,90.45,100.0,2,0,1,1,0.7
2025-08-20T10:03:27Z,B,79.72,75.0,0,0,0,0,0.7
2025-08-20T10:03:27Z,C,69.62,75.0,0,0,0,0,0.7
2025-08-20T10:03:37Z,A,85.81,75.0,0,0,0,0,0.7
2025-08-20T10:03:37Z,B,73.81,60.0,1,0,0,1,0.7
2025-08-20T10:03:37Z,C,66.73,60.0,1,0,0,1,0.7
2025-08-20T10:03:47Z,A,82.57,75.0,1,0,0,1,0.7
2025-08-20T10:03:47Z,B,74.16,75.0,0,0,0,0,0.7
2025-08-20T10:03:47Z,C,61.71,50.0,1,1,0,0,0.7
2025-08-20T10:03:57Z,A,87.8,100.0,1,0,1,0,0.7
2025-08-20T10:03:57Z,B,66.92,50.0,1,1,0,0,0.7
2025-08-20T10:03:57Z,C,65.7,75.0,0,0,0,0,0.7
2025-08-20T10:04:07Z,A,83.96,75.0,1,0,0,1,0.7
2025-08-20T10:04:07Z,B,76.84,100.0,2,0,1,1,0.7
2025-08-20T10:04:07Z,C,68.49,75.0,0,0,0,0,0.7
2025-08-20T10:04:17Z,A,88.77,100.0,1,0,1,0,0.7
2025-08-20T10:04:17Z,B,71.79,60.0,1,0,0,1,0.7
2025-08-20T10:04:17Z,C,70.44,75.0,0,0,0,0,0.7
2025-08-20T10:04:27Z,A,80.14,60.0,1,0,0,1,0.7
2025-08-20T10:04:27Z,B,72.75,75.0,0,0,0,0,0.7
2025-08-20T10:04:27Z,C,71.81,75.0,0,0,0,0,0.7
2025-08-20T10:04:37Z,A,78.6,75.0,0,0,0,0,0.7
2025-08-20T10:04:37Z,B,73.43,75.0,0,0,0,0,0.7
2025-08-20T10:04:37Z,C,80.27,100.0,2,0,1,1,0.7
2025-08-20T10:04:47Z,A,85.02,100.0,2,0,1,1,0.7
2025-08-20T10:04:47Z,B,73.9,75.0,0,0,0,0,0.7
2025-08-20T10:04:47Z,C,78.69,75.0,0,0,0,0,0.7
2025-08-20T10:04:57Z,A,82.01,75.0,0,0,0,0,0.7
2025-08-20T10:04:57Z,B,65.98,47.5,2,1,0,1,0.7
2025-08-20T10:04:57Z,C,77.58,75.0,0,0,0,0,0.7
2025-08-20T10:05:07Z,A,87.41,100.0,1,0,1,0,0.7
2025-08-20T10:05:07Z,B,68.69,75.0,0,0,0,0,0.7
2025-08-20T10:05:07Z,C,84.31,100.0,2,0,1,1,0.7
2025-08-20T10:05:17Z,A,83.69,75.0,1,0,0,1,0.7
2025-08-20T10:05:17Z,B,78.08,100.0,1,0,1,0,0.7
2025-08-20T10:05:17Z,C,81.51,75.0,0,0,0,0,0.7
2025-08-20T10:05:27Z,A,88.58,100.0,1,0,1,0,0.7
2025-08-20T10:05:27Z,B,77.16,75.0,0,0,0,0,0.7
2025-08-20T10:05:27Z,C,79.56,75.0,0,0,0,0,0.7
2025-08-20T10:05:37Z,A,80.01,60.0,1,0,0,1,0.7
2025-08-20T10:05:37Z,B,72.01,60.0,1,0,0,1,0.7
2025-08-20T10:05:37Z,C,78.19,75.0,1,0,0,1,0.7
2025-08-20T10:05:47Z,A,78.5,75.0,0,0,0,0,0.7
2025-08-20T10:05:47Z,B,80.41,100.0,1,0,1,0,0.7
2025-08-20T10:05:47Z,C,84.73,100.0,1,0,1,0,0.7
2025-08-20T10:05:57Z,A,77.45,75.0,0,0,0,0,0.7
2025-08-20T10:05:57Z,B,78.78,75.0,1,0,0,1,0.7
2025-08-20T10:05:57Z,C,81.81,75.0,0,0,0,0,0.7
2025-08-20T10:06:07Z,A,84.22,100.0,2,0,1,1,0.7
2025-08-20T10:06:07Z,B,85.15,100.0,1,0,1,0,0.7
2025-08-20T10:06:07Z,C,79.77,75.0,0,0,0,0,0.7
2025-08-20T10:06:17Z,A,81.45,75.0,0,0,0,0,0.7
2025-08-20T10:06:17Z,B,77.6,60.0,1,0,0,1,0.7
2025-08-20T10:06:17Z,C,85.84,100.0,2,0,1,1,0.7
2025-08-20T10:06:27Z,A,87.02,100.0,1,0,1,0,0.7
2025-08-20T10:06:27Z,B,69.32,50.0,1,1,0,0,0.7
2025-08-20T10:06:27Z,C,78.09,60.0,1,0,0,1,0.7
2025-08-20T10:06:37Z,A,90.91,100.0,2,0,1,1,0.7
2025-08-20T10:06:37Z,B,71.03,75.0,1,0,0,1,0.7
2025-08-20T10:06:37Z,C,77.16,75.0,0,0,0,0,0.7
2025-08-20T10:06:47Z,A,86.14,75.0,0,0,0,0,0.7
2025-08-20T10:06:47Z,B,79.72,100.0,2,0,1,1,0.7
2025-08-20T10:06:47Z,C,76.51,75.0,0,0,0,0,0.7
2025-08-20T10:06:57Z,A,82.8,75.0,0,0,0,0,0.7
2025-08-20T10:06:57Z,B,85.8,100.0,1,0,1,0,0.7
2025-08-20T10:06:57Z,C,83.56,100.0,2,0,1,1,0.7
2025-08-20T10:07:07Z,A,75.96,60.0,1,0,0,1,0.7
2025-08-20T10:07:07Z,B,82.56,75.0,1,0,0,1,0.7
2025-08-20T10:07:07Z,C,80.99,75.0,0,0,0,0,0.7
2025-08-20T10:07:17Z,A,68.17,50.0,1,1,0,0,0.7
2025-08-20T10:07:17Z,B,87.79,100.0,1,0,1,0,0.7
2025-08-20T10:07:17Z,C,79.19,75.0,0,0,0,0,0.7
2025-08-20T10:07:27Z,A,70.22,75.0,0,0,0,0,0.7
2025-08-20T10:07:27Z,B,79.46,60.0,1,0,0,1,0.7
2025-08-20T10:07:27Z,C,85.44,100.0,1,0,1,0,0.7
2025-08-20T10:07:37Z,A,71.65,75.0,0,0,0,0,0.7
2025-08-20T10:07:37Z,B,70.62,50.0,1,1,0,0,0.7
2025-08-20T10:07:37Z,C,77.8,60.0,1,0,0,1,0.7
2025-08-20T10:07:47Z,A,77.16,90.0,3,0,1,2,0.7
2025-08-20T10:07:47Z,B,71.93,75.0,0,0,0,0,0.7
2025-08-20T10:07:47Z,C,76.96,75.0,0,0,0,0,0.7
2025-08-20T10:07:57Z,A,76.51,75.0,0,0,0,0,0.7
2025-08-20T10:07:57Z,B,68.35,60.0,1,0,0,1,0.7
2025-08-20T10:07:57Z,C,76.37,75.0,0,0,0,0,0.7
2025-08-20T10:08:07Z,A,68.56,50.0,1,1,0,0,0.7
2025-08-20T10:08:07Z,B,70.35,75.0,0,0,0,0,0.7
2025-08-20T10:08:07Z,C,83.46,100.0,1,0,1,0,0.7
2025-08-20T10:08:17Z,A,70.49,75.0,0,0,0,0,0.7
2025-08-20T10:08:17Z,B,79.24,100.0,1,0,1,0,0.7
2025-08-20T10:08:17Z,C,80.92,75.0,0,0,0,0,0.7
2025-08-20T10:08:27Z,A,79.34,100.0,2,0,1,1,0.7
2025-08-20T10:08:27Z,B,85.47,100.0,2,0,1,1,0.7
2025-08-20T10:08:27Z,C,79.15,75.0,0,0,0,0,0.7
2025-08-20T10:08:37Z,A,78.04,75.0,1,0,0,1,0.7
2025-08-20T10:08:37Z,B,82.33,75.0,0,0,0,0,0.7
2025-08-20T10:08:37Z,C,73.4,60.0,1,0,0,1,0.7
2025-08-20T10:08:47Z,A,84.63,100.0,1,0,1,0,0.7
2025-08-20T10:08:47Z,B,80.13,75.0,0,0,0,0,0.7
2025-08-20T10:08:47Z,C,73.88,75.0,0,0,0,0,0.7
2025-08-20T10:08:57Z,A,81.74,75.0,1,0,0,1,0.7
2025-08-20T10:08:57Z,B,74.09,60.0,1,0,0,1,0.7
2025-08-20T10:08:57Z,C,74.22,75.0,0,0,0,0,0.7
2025-08-20T10:09:07Z,A,87.22,100.0,1,0,1,0,0.7
2025-08-20T10:09:07Z,B,74.36,75.0,0,0,0,0,0.7
2025-08-20T10:09:07Z,C,74.45,75.0,0,0,0,0,0.7
2025-08-20T10:09:17Z,A,83.55,75.0,0,0,0,0,0.7
2025-08-20T10:09:17Z,B,70.8,62.5,2,1,0,1,0.7
2025-08-20T10:09:17Z,C,74.62,75.0,0,0,0,0,0.7
2025-08-20T10:09:27Z,A,80.99,75.0,0,0,0,0,0.7
2025-08-20T10:09:27Z,B,79.56,100.0,1,0,1,0,0.7
2025-08-20T10:09:27Z,C,74.73,75.0,0,0,0,0,0.7
2025-08-20T10:09:37Z,A,74.69,60.0,1,0,0,1,0.7
2025-08-20T10:09:37Z,B,78.19,75.0,0,0,0,0,0.7
2025-08-20T10:09:37Z,C,82.31,100.0,1,0,1,0,0.7
2025-08-20T10:09:47Z,A,74.78,75.0,0,0,0,0,0.7
2025-08-20T10:09:47Z,B,77.24,75.0,0,0,0,0,0.7
2025-08-20T10:09:47Z,C,75.62,60.0,1,0,0,1,0.7
2025-08-20T10:09:57Z,A,82.35,100.0,2,0,1,1,0.7
2025-08-20T10:09:57Z,B,76.57,75.0,0,0,0,0,0.7
2025-08-20T10:09:57Z,C,75.43,75.0,0,0,0,0,0.7
