,timestamp,operator_id,event,task_id
75,2025-08-20T10:06:25Z,B,task start,B-13
76,2025-08-20T10:06:29Z,B,task error,B-13
77,2025-08-20T10:06:31Z,C,task start,C-12
78,2025-08-20T10:06:36Z,A,task complete,A-15
79,2025-08-20T10:06:38Z,A,task start,A-16
80,2025-08-20T10:06:40Z,B,task start,B-14
81,2025-08-20T10:06:44Z,A,task complete,A-16
82,2025-08-20T10:06:47Z,B,task complete,B-14
83,2025-08-20T10:06:53Z,B,task start,B-15
84,2025-08-20T10:06:59Z,C,task complete,C-12
85,2025-08-20T10:07:01Z,C,task start,C-13
86,2025-08-20T10:07:06Z,B,task complete,B-15
87,2025-08-20T10:07:08Z,A,task start,A-17
88,2025-08-20T10:07:15Z,B,task start,B-16
89,2025-08-20T10:07:19Z,B,task complete,B-16
90,2025-08-20T10:07:26Z,A,task error,A-17
91,2025-08-20T10:07:33Z,C,task complete,C-13
92,2025-08-20T10:07:35Z,B,task start,B-17
93,2025-08-20T10:07:38Z,B,task error,B-17
94,2025-08-20T10:07:46Z,C,task start,C-14
95,2025-08-20T10:07:51Z,A,task start,A-18
96,2025-08-20T10:07:53Z,A,task complete,A-18
97,2025-08-20T10:07:56Z,A,task start,A-19
98,2025-08-20T10:08:04Z,B,task start,B-18
99,2025-08-20T10:08:08Z,C,task complete,C-14
100,2025-08-20T10:08:15Z,A,task error,A-19
101,2025-08-20T10:08:21Z,B,task complete,B-18
102,2025-08-20T10:08:28Z,B,task start,B-19
103,2025-08-20T10:08:30Z,B,task complete,B-19
104,2025-08-20T10:08:32Z,A,task start,A-20
105,2025-08-20T10:08:34Z,A,task complete,A-20
106,2025-08-20T10:08:38Z,C,task start,C-15
107,2025-08-20T10:08:44Z,A,task start,A-21
108,2025-08-20T10:08:50Z,A,task complete,A-21
109,2025-08-20T10:08:57Z,B,task start,B-20
110,2025-08-20T10:09:04Z,A,task start,A-22
111,2025-08-20T10:09:10Z,A,task complete,A-22
112,2025-08-20T10:09:18Z,B,task error,B-20
113,2025-08-20T10:09:25Z,B,task start,B-21
114,2025-08-20T10:09:32Z,B,task complete,B-21
115,2025-08-20T10:09:39Z,A,task start,A-23
116,2025-08-20T10:09:44Z,C,task complete,C-15
117,2025-08-20T10:09:50Z,C,task start,C-16
118,2025-08-20T10:09:57Z,A,task complete,A-23
119,2025-08-20T10:10:00Z,A,task start,A-24
